Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,Gaming,Touchscreen,ppi,Cpu Brand,Gpu brand
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
Acer,15.6,8,128,Windows,3.64,299.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
Lenovo,15.6,16,2048,Windows,7,1299,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
HP,15.6,8,256,Windows,6.34,449,1920,1080,0,0,141.2119981,Athlon Processor,AMD
Lenovo,14,4,128,Windows,3.09,370.79,1366,768,0,0,111.9352036,Intel Core i7,Intel 
Lenovo,16,16,256,Windows,6.2,978.8,1920,1200,0,0,141.509717,AMD Processor,AMD
LG,17,32,2048,Windows,3.2,2099.99,2560,1600,0,0,177.5808213,Intel Core i7,Intel 
Acer,11.6,4,64,Chrome OS,2.87,155.5,1366,768,0,0,135.0942112,AMD Processor,AMD
Quality Refurbished Computers,15.6,8,1024,Windows,10.73,229.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Lenovo,15.6,16,1024,Windows,5.42,963.9260148,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Acer,11.6,4,32,Chrome OS,3.52,173.99,1366,768,0,1,135.0942112,Intel Core i7,Intel 
SAMSUNG,15.6,16,1024,Windows,2.31,1199.94,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
LG,14,8,512,Windows,2.2,898.19,1920,1200,0,0,161.7253908,Intel Core i7,Intel 
Dell,15.6,32,1024,Windows,5.37,1591.59,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
Alienware,15.6,32,1024,Windows,3.93,1799,1920,1080,1,0,141.2119981,Intel Core i7,Intel 
ASUS,15.6,20,1024,Windows,3.97,963.9260148,1920,1080,0,1,141.2119981,Intel Core i3,Intel 
MSI,15.6,32,32,Windows,4.63,949.99,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
HP,15.6,8,256,Windows,5.5,699,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
HP,17.3,16,512,Windows,6.15,1498.99,1920,1080,0,0,127.3356746,Intel Core i7,NVIDIA
Generic,14,8,128,Chrome OS,6.59,349.99,1920,1080,0,1,157.3505121,AMD Processor,AMD
Intel,15.6,64,512,Others/Linux/Mac OS,4.37,1066.11,1920,1080,0,0,141.2119981,AMD Processor,NVIDIA
Evoo,11.6,4,64,Windows,5.4,150,1366,768,0,0,135.0942112,Intel Core i7,Intel 
HP,14,4,128,Windows,3.2,963.9260148,1366,768,0,0,111.9352036,Intel Core i3,Intel 
Dell,15.6,32,1024,Windows,8,963.9260148,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
ASUS,16,16,1024,Windows,4.9,1899.99,2560,1600,1,0,188.6796226,Intel Core i9,NVIDIA
HP,13.5,16,256,Windows,3.5,1299.99,1920,1280,0,1,170.9298382,Intel Core i5,Intel 
ROKC,14,12,512,Windows,3.31,469.99,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
MSI,15.6,16,512,Windows,4.96,1252.84,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
Lenovo,15.6,4,500,Windows,2.6,899.99,1920,1080,0,0,141.2119981,AMD Processor,AMD
Lenovo,11.6,4,32,Chrome OS,2.66,98.98,1366,768,0,0,135.0942112,Celeron Processor,Intel 
Lenovo,16,32,2048,Windows,10,963.9260148,3840,2400,0,0,283.019434,Intel Core i7,NVIDIA
LG,14,32,1024,Windows,2.2,1799.99,2880,1800,0,0,242.5880863,Intel Core i7,Intel 
Dell,17,32,1024,Windows,5.5,2299,3840,2400,0,0,266.371232,Intel Core i7,NVIDIA
ASUS,14,8,256,Windows,5,549,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Acer,17.3,36,2048,Windows,8,963.9260148,1920,1080,0,0,127.3356746,Intel Core i7,Intel 
Lenovo,14,16,512,Windows,3.17,1299,3840,2160,0,1,314.7010243,Intel Core i7,Intel 
ASUS,14,8,256,Windows,3.3,628,1920,1080,0,0,157.3505121,AMD Processor,AMD
Lenovo,16,16,1024,Windows,6.29,978.6,1920,1200,0,1,141.509717,AMD Processor,AMD
HP,16.1,16,512,Windows,6,1149.49,1920,1080,0,0,136.8265323,AMD Processor,NVIDIA
Dell,13.3,16,256,Windows,2.6,1499.81,1920,1080,0,0,165.6321181,Intel Core i7,Intel 
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
HP,15.6,16,512,Windows,8,963.9260148,1920,1080,0,1,141.2119981,Intel Core i7,NVIDIA
MSI,13.4,32,1024,Windows,3.74,1299.99,2560,1600,1,0,225.2891017,Intel Core i7,Intel 
LG,16,16,512,Windows,2.64,899.99,2560,1600,0,0,188.6796226,Intel Core i5,Intel 
Dell,16,32,2048,Windows,8,963.9260148,1920,1200,0,0,141.509717,Intel Core i7,NVIDIA
LG,17,16,2048,Windows,2.98,1650.56,2560,1600,0,0,177.5808213,Intel Core i7,Intel 
ASUS,13.3,8,256,Windows,2,767.07,1920,1080,0,0,165.6321181,Pentium Processor,Intel 
Lenovo,11.6,4,512,Windows,11.9,349.6,1366,768,0,1,135.0942112,Intel Core i7,Intel 
MSI,14,16,512,Windows,2.84,1042.32,1920,1080,1,0,157.3505121,Intel Core i5,Intel 
HP,14,4,64,Chrome OS,4.49,214,1366,768,0,1,111.9352036,Celeron Processor,Intel 
Acer,14,4,32,Chrome OS,3.31,227.81,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
ASUS,15.6,32,1024,Windows,10,963.9260148,1920,1080,1,0,141.2119981,AMD Processor,NVIDIA
Panasonic,14,16,1024,Windows,7.63,738.98,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Acer,15.6,8,128,Windows,3.64,299.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
