Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
HP,14.0,2,512,Others/Linux/Mac OS,4.85,89.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
HP,15.6,16,512,Windows,4.59,1292.76,1920.0,1080.0,141.21199808219862,0,1,AMD Processor,AMD
Acer,15.6,4,32,Chrome OS,3.53,396.0,1920.0,1080.0,141.21199808219862,0,1,Celeron Processor,Intel 
HP,14.0,4,32,Chrome OS,3.2,102.8,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
Lenovo,14.0,8,256,Windows,3.06,249.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Dell,13.4,16,512,Windows,8,1154.99,1920.0,1080.0,164.39605746882822,0,0,Intel Core i7,Intel 
LG,16.0,16,2048,Windows,3.26,2099.99,2560.0,1600.0,188.67962264113208,0,0,Intel Core i7,Intel 
Dell,12.5,16,256,Windows,2.97,699.99,1920.0,1080.0,176.23257360658386,0,1,Intel Core i7,Intel 
Lenovo,14.0,8,128,Windows,4.54,299.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i3,Intel 
Acer,15.6,4,1024,Windows,4.7,279.99,1366.0,768.0,100.45466986113651,0,0,Intel Core i3,Intel 
HP,14.0,4,512,Windows,3.24,215.48,1366.0,768.0,111.93520355955211,0,1,Celeron Processor,Intel 
ASUS,15.0,8,750,Windows,5.1,699.99,1366.0,768.0,104.47285665558198,0,0,Intel Core i5,Intel 
Dell,13.3,16,512,Windows,3.5,1040.01,1920.0,1080.0,165.6321180513006,0,0,Intel Core i7,Intel 
Dell,14.0,16,256,Windows,4.9,699.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Lenovo,15.6,4,128,Windows,3.75,239.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i3,Intel 
Dell,17.0,64,512,Windows,4.7,699.99,3840.0,1080.0,234.64616666251288,0,0,Intel Core i9,NVIDIA
HP,15.6,4,512,Others/Linux/Mac OS,5.4,599.0,1366.0,768.0,100.45466986113651,0,0,Intel Core i7,Intel 
HP,15.6,8,256,Windows,5.17,286.0,1360.0,768.0,100.11958661486584,0,0,Pentium Processor,Intel 
LG,16.0,16,1024,Windows,7,1649.0,2560.0,1600.0,188.67962264113208,0,0,Intel Core i7,Intel 
HP,14.0,4,512,Chrome OS,3.24,269.99,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
Dell,14.0,64,4096,Windows,7,699.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,NVIDIA
Lenovo,15.6,32,1024,Windows,8,699.99,3840.0,2160.0,282.42399616439724,0,0,Intel Core i7,Intel 
Lenovo,15.6,16,512,Windows,5.79,699.99,1920.0,1080.0,141.21199808219862,0,1,Intel Core i7,Intel 
Acer,15.6,8,256,Windows,5.39,525.25,1366.0,768.0,100.45466986113651,0,0,Intel Core i5,Intel 
Microsoft,13.0,16,512,Windows,1.7,619.99,2880.0,1920.0,266.25609418810996,0,1,Intel Core i7,Intel 
HP,15.6,32,512,Windows,5.2,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Dell,14.0,32,256,Windows,4.72,1580.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
ASUS,11.0,4,128,Windows,2.65,249.99,1366.0,768.0,142.46298634852087,0,0,Celeron Processor,Intel 
Dell,14.0,16,512,Windows,3.3,699.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,NVIDIA
Dell,11.6,4,512,Windows,4.3,400.68,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
Lenovo,11.6,4,64,Chrome OS,3.85,165.95,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
MSI,17.3,64,2048,Windows,7.28,4299.0,1920.0,1080.0,127.33567457123111,1,0,Intel Core i9,NVIDIA
Acer,14.0,4,64,Chrome OS,5.29,359.99,1920.0,1080.0,157.3505121487356,0,1,AMD Processor,AMD
Acer,15.6,8,256,Windows,3.97,469.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
MSI,15.6,32,1024,Windows,8,699.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
Lenovo,15.6,8,1024,Windows,4.84,1188.0,1920.0,1080.0,141.21199808219862,1,0,Intel Core i5,NVIDIA
Lenovo,11.6,4,32,Others/Linux/Mac OS,8,699.99,1920.0,1080.0,189.90579052433606,0,0,Celeron Processor,Intel 
LG,16.0,16,1024,Windows,2.18,1799.99,2560.0,1600.0,188.67962264113208,0,0,Intel Core i7,Intel 
HP,14.0,16,128,Chrome OS,4,997.93,1920.0,1080.0,157.3505121487356,0,0,AMD Processor,AMD
Lenovo,14.0,16,1024,Windows,2.97,1999.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Dell,13.3,16,1024,Windows,3.84,1292.52,1920.0,1080.0,165.6321180513006,0,0,Intel Core i7,Intel 
HP,14.0,4,128,Windows,3.2,699.99,1366.0,768.0,111.93520355955211,0,0,Intel Core i3,Intel 
ASUS,15.6,8,512,Windows,3.97,729.0,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
HP,14.0,8,256,Windows,4.42,429.0,1366.0,768.0,111.93520355955211,0,0,Intel Core i3,Intel 
Lenovo,14.0,12,512,Windows,7.9,699.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Acer,15.6,16,512,Windows,4.6,1495.0,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
HP,15.6,8,256,Windows,4.1,558.7,1920.0,1080.0,141.21199808219862,0,1,AMD Processor,AMD
Lenovo,11.6,4,512,Windows,2.93,398.66,1366.0,768.0,135.0942111925629,0,1,Intel Core i7,AMD
HP,17.3,8,512,Windows,5.25,699.99,1920.0,1080.0,127.33567457123111,0,0,Intel Core i3,Intel 
Acer,14.0,4,64,Chrome OS,3.75,183.0,1366.0,786.0,112.57088469774347,0,0,Celeron Processor,Intel 
Toshiba,14.0,8,512,Windows,2,429.95,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Lenovo,14.0,16,512,Windows,2.48,1272.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Dell,14.0,16,512,Windows,5.45,1555.51,1920.0,1080.0,157.3505121487356,0,1,Intel Core i7,Intel 
MSI,15.6,16,512,Windows,4.96,1252.84,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
Lenovo,14.0,16,512,Windows,8,699.99,1920.0,1200.0,161.72539083525606,0,1,AMD Processor,AMD
Acer,17.3,16,1024,Windows,6.83,699.99,2560.0,1440.0,169.78089942830815,1,0,AMD Processor,NVIDIA
Lenovo,17.3,8,512,Windows,3.9,2425.36,1920.0,1080.0,127.33567457123111,0,0,Intel Core i7,NVIDIA
Dell,15.6,8,512,Windows,4.26,468.98,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,NVIDIA
