Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
ASUS,"ASUS ZenBook 14 UM433DA-DH75 90NB0PD6-M00680 Silver Laptop/Ryzen 7 3700U/8GB/512GB PCIe SSD/14.0"" Flat Full HD (1920x1080)/AMD Radeon RX Vega 10/Windows 10 Home",14 Inches,‎1920 x 1080 Pixels,AMD Ryzen 7,8 GB,512 GB,‎AMD Radeon RX Vega 10,‎Windows,‎2.47 pounds,$934.58 
Lenovo,"Lenovo ThinkPad P16 G1 21D6006PUS 16"" Mobile Workstation - QHD - 2560 x 1600 - Intel Core i7 12th Gen i7-12850HX Hexadeca-core (16 Core) 2.10 GHz - 32 GB Total RAM - 1 TB SSD - Storm Gray",16 Inches,‎2560 x 1600 Pixels,Core i7,32 GB,1 TB,‎NVIDIA RTX A2000,‎Windows 11 Pro,‎9.33 pounds,"$3,152.37 "
HP,"HP ProBook 450 G9 15.6"" FHD Business Laptop, 12th Gen Intel 10-Core i7-1255U up to 4.7GHz, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth 5.2, Windows 10 Pro, BROAG Extension Cable",15.6 Inches,‎1920x1080,Core i7,64 GB,2 TB,‎Intel Iris Xe Graphics,‎Windows 10 Pro,‎3.84 pounds,
Dell,"Dell 2021 Newest XPS 15 9510 Laptop, 15.6"" FHD+ 500 Nits Display, Intel i9-11900H, RTX 3050Ti, 64GB RAM, 4TB SSD, IR Webcam, Backlit Keyboard, Fingerprint Reader, WiFi 6, Thunderbolt 4, Win 10 Home",15.6 Inches,‎1920 x 1200 Pixels,Intel Core i9,64 GB,1 TB,‎NVIDIA GeForce RTX 3050 Ti,‎Windows 10 Home,‎4.22 pounds,"$3,599.00 "
Lenovo,"Lenovo Newest IdeaPad 3 14ALC6 14.0"" FHD IPS Laptop (AMD Ryzen 5 5500U 6-Core 2.10GHz, 8GB RAM, 256GB SSD, AMD Radeon, Fingerprint, AC WiFi, BT 5.1, HD Webcam, Win 11 Home) with Dockztorm Dock",14 Inches,‎1920 x 1080 Pixels,AMD R Series,8 GB,256 GB,‎AMD Radeon Graphics,‎Windows 11 Home,‎3 pounds,From $499.00
ASUS,"ASUS Student Laptop, 12 inch IPS Anti-Glare Eye-Care HD Display, Intel Celeron N4500, Military-Grade Durability, Wi-Fi 6, Ethernet Port, Long Battery Life, Windows 10 Pro (4GB RAM | 128GB SSD)",12 Inches,‎1366 x 768 Pixels,Celeron,4 GB,128 GB,‎Intel UHD Graphics 600,‎Windows 11,‎4 pounds,From $119.99
MSI,"MSI Prestige 15 A11SCX-217 15.6"" UHD Ultra Thin and Light Professional Laptop Intel Core i7-1185G7 NVIDIA GeForce GTX1650 MAX-Q 32GB DDR4 1TB NVMe SSD Win10PRO, Urban Silver",15.6 Inches,‎3840 x 2160 Pixels,Core i7 Family,64 GB,‎SSD,‎NVIDIA GTX 1650 MAX-Q,‎Windows 10 Pro,‎3.64 pounds,"$1,719.00 "
HP,2PX5137 - HP EliteBook 8570p C6Z58UT 15.6quot; LED Notebook - Intel - Core i5 i5-3320M 2.6GHz - Platinum,15.6 Inches,‎1366 x 768 Pixels,Core i5,‎4 GB DDR3,500 GB,‎Intel HD Graphics 4000,‎Windows 7 Professional,‎8.8 pounds,
HP,"HP 2022 Envy X360 15.6"" FHD IPS Touchscreen 2-in-1 Laptop Intel Quad-Core i7-1195G7 Iris Xe Graphics 16GB DDR4 512GB NVMe SSD HDMI2.0 Thunderbolt 4 WiFi AX BT Backlit Windows 11 Home w/ RE 32GB USB",15.6 Inches,‎1920 x 1080 Pixels,Core i7 Family,16 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 11 Home,‎4.02 pounds,
Lenovo,"Lenovo - 300W Gen 3-2-in-1 Educational Computer - Laptop for Students - AMD 3015e Dual-Core Processor - 11.6"" HD Touchscreen Display - 4GB Memory - 64GB Storage - Windows 10 Pro",11.6,‎1366 x 768 Pixels,AMD E Series,4 GB,,‎AMD Radeon Vega 8,‎Windows 10 Pro,‎4.18 pounds,$323.16 
Acer,"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 GPU | 15.6"" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard",15.6 Inches,‎1920x1080,Core I7 11800H,16 GB,512 GB,‎NVIDIA GeForce RTX 3060,‎Windows 10,‎5.51 pounds,"$1,261.28 "
