Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
Lenovo,"Newest Lenovo Ideapad 3i Laptop, 14"" FHD Display, Intel Core i3-1115G4 Processor, 20GB RAM, 1TB SSD, Intel UHD Graphics, Bluetooth, Webcam, Windows 11 in S Mode, Cefesfy","14.0""",1920 x 1080,Intel Core i3 11th Gen,20GB,1 TB PCIe,Intel UHD Graphics,Windows 11 in S mode,3 - 3.9 lbs.,$559.99 
HP,"HP ProBook 440 G9 14"" Notebook - Intel Core i5 12th Gen i5-1235U Deca-core (10 Core) 1.30 GHz - 16 GB Total RAM - 512 GB SSD Windows 10 Pro - 687M9UT#ABA, Includes 1 Year of HP Wolf Pro Security","14.0""",,,16GB,,,,,$685.00 
MSI,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-048US","14.0""",1920 x 1080,AMD Ryzen 7 7000 Series,16GB,512 GB NVMe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.75 lbs.,$649.00 
ASUS,"2023 ASUS Vivobook 15 OLED Laptop, 15.6"" FHD OLED Display, AMD Ryzen 5 7530U CPU, AMD Radeon GPU, 8GB RAM, 512GB SSD, Windows 11 Home, Indie Black, M1505YA-DS52","15.6""",1920 x 1080,AMD Ryzen 5 7000 Series,8GB,512 GB PCIe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.75 lbs.,$699.99 
MSI,"MSI Creator M16 Laptop Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3050 Ti Laptop GPU 16.0"" Windows 11 Pro 64-bit Creator M16 A12UD-266","16.0""",2560 x 1600,Intel Core i7 12th Gen,16GB,512 GB NVMe,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Windows 11 Pro 64-bit,6.06 lbs.,"$1,099.00 "
MSI,"MSI Prestige 13Evo 13.3"" Laptop A13M-074US, Intel Evo i7-1360P, 16GB RAM, 1TB SSD, Win 11 Home, Iris Xe Graphics","13.3""",1920 x 1200,Intel Core i7 13th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,3.77 lbs,"$1,149.00 "
ASUS,"2023 ASUS Zenbook S 13 OLED Ultra Laptop, 13.3” OLED 2.8K Display, Intel Evo Certified, i7-1355UCPU, Intel® Iris Xe Graphics, 32GB RAM, 1TB SSD, Windows 11 Pro, Basalt Grey, UX5304VA-XS76","13.3""",2880 x 1800,Intel Core i7 13th Gen,32GB,1 TB,Intel Iris Xe Graphics,Windows 11 Pro,2.2 lbs,"$1,399.99 "
ASUS,"ASUS VivoBook 16 Laptop, 16"" WUXGA (1920 x 1200) 16:10 Display, AMD Ryzen 7 7730U CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Fingerprint Sensor, Windows 11 Home, Indie Black, M1605YA-ES74","16.0""",1920 x 1200,AMD Ryzen 7 7000 Series,16GB,1 TB PCIe,AMD Radeon Graphics,Windows 11 Home 64-bit,4.14 lbs.,$699.99 
MSI,"MSI Modern 15 Laptop Intel Core i5 12th Gen 1235U (1.30GHz) 8GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-014","15.6""",1920 x 1080,Intel Core i5 12th Gen,8GB,512 GB NVMe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,3.85 lbs.,$499.00 
MSI,"MSI Laptop Prestige 14Evo Intel Core i5 12th Gen 1240P (1.70GHz) 16GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Prestige 14Evo A12M-013","14.0""",1920 x 1080,Intel Core i5 12th Gen,16GB,512 GB NVMe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,3.60 lbs.,$799.00 
LG,"LG Gram Laptop Intel Core i7 11th Gen 1165G7 (2.80GHz) 16GB Memory 1 TB M.2 SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit 15Z90P-N.APS7U1","15.6""",1920 x 1080,Intel Core i7 11th Gen,16GB,1 TB M.2,Intel Iris Xe Graphics,Windows 10 Pro 64-bit,2.47 lbs.,"$1,049.00 "
LG,"LG GRAM Laptop Intel Core i7 12th Gen 1260P (2.10GHz) 16GB Memory 1 TB PCIe SSD Intel Iris Xe Graphics 16.0"" Windows 11 Pro 16Z90Q-N.APB7U1","16.0""",2560 x 1600,Intel Core i7 12th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Pro,2.65 lbs.,"$1,359.99 "
